[23:28:34.204] PLAYER COLLIDER: Position={-1694.4587496392903 -1265.6706570666229}, Radius=15.5, Velocity=1.08333118487738, Rotation=0
[23:28:34.219] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1266.2692572148517}, Size=35.33333333333333x26.666666666666664, Velocity=0.9963355758065536, Rotation=0
[23:28:34.220] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1265.6706570666229}, Size=35.33333333333333x26.666666666666664, Velocity=0.9963355758065536, Rotation=0
[23:28:34.221] PLAYER COLLIDER: Position={-1694.4587496392903 -1266.2692572148517}, Radius=15.5, Velocity=0.9963355758065536, Rotation=0
[23:28:34.235] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1266.7803527031567}, Size=35.33333333333333x26.666666666666664, Velocity=0.9176358273361915, Rotation=0
[23:28:34.236] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1266.2692572148517}, Size=35.33333333333333x26.666666666666664, Velocity=0.9176358273361915, Rotation=0
[23:28:34.237] PLAYER COLLIDER: Position={-1694.4587496392903 -1266.7803527031567}, Radius=15.5, Velocity=0.9176358273361915, Rotation=0
[23:28:34.252] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1267.2263753185161}, Size=35.33333333333333x26.666666666666664, Velocity=0.843868733452907, Rotation=0
[23:28:34.253] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1266.7803527031567}, Size=35.33333333333333x26.666666666666664, Velocity=0.843868733452907, Rotation=0
[23:28:34.254] PLAYER COLLIDER: Position={-1694.4587496392903 -1267.2263753185161}, Radius=15.5, Velocity=0.843868733452907, Rotation=0
[23:28:34.272] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1268.041790764619}, Size=35.33333333333333x26.666666666666664, Velocity=1.0936576967238454, Rotation=0
[23:28:34.273] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1267.2263753185161}, Size=35.33333333333333x26.666666666666664, Velocity=1.0936576967238454, Rotation=0
[23:28:34.274] PLAYER COLLIDER: Position={-1694.4587496392903 -1268.041790764619}, Radius=15.5, Velocity=1.0936576967238454, Rotation=0
[23:28:34.286] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1268.7624992789413}, Size=35.33333333333333x26.666666666666664, Velocity=1.2557806741407826, Rotation=0
[23:28:34.287] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1268.041790764619}, Size=35.33333333333333x26.666666666666664, Velocity=1.2557806741407826, Rotation=0
[23:28:34.288] PLAYER COLLIDER: Position={-1694.4587496392903 -1268.7624992789413}, Radius=15.5, Velocity=1.2557806741407826, Rotation=0
[23:28:34.302] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1269.7882586140556}, Size=35.33333333333333x26.666666666666664, Velocity=1.4339039131903635, Rotation=0
[23:28:34.303] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1268.7624992789413}, Size=35.33333333333333x26.666666666666664, Velocity=1.4339039131903635, Rotation=0
[23:28:34.304] PLAYER COLLIDER: Position={-1694.4587496392903 -1269.7882586140556}, Radius=15.5, Velocity=1.4339039131903635, Rotation=0
[23:28:34.320] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1271.0326442750893}, Size=35.33333333333333x26.666666666666664, Velocity=1.6046444409274423, Rotation=0
[23:28:34.321] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1269.7882586140556}, Size=35.33333333333333x26.666666666666664, Velocity=1.6046444409274423, Rotation=0
[23:28:34.322] PLAYER COLLIDER: Position={-1694.4587496392903 -1271.0326442750893}, Radius=15.5, Velocity=1.6046444409274423, Rotation=0
[23:28:34.336] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1272.4089839808994}, Size=35.33333333333333x26.666666666666664, Velocity=1.7582880307162216, Rotation=0
[23:28:34.338] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1271.0326442750893}, Size=35.33333333333333x26.666666666666664, Velocity=1.7582880307162216, Rotation=0
[23:28:34.339] PLAYER COLLIDER: Position={-1694.4587496392903 -1272.4089839808994}, Radius=15.5, Velocity=1.7582880307162216, Rotation=0
[23:28:34.353] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1273.9362055679103}, Size=35.33333333333333x26.666666666666664, Velocity=1.9001403631114853, Rotation=0
[23:28:34.355] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1272.4089839808994}, Size=35.33333333333333x26.666666666666664, Velocity=1.9001403631114853, Rotation=0
[23:28:34.356] PLAYER COLLIDER: Position={-1694.4587496392903 -1273.9362055679103}, Radius=15.5, Velocity=1.9001403631114853, Rotation=0
[23:28:34.405] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1279.8223134363238}, Size=35.33333333333333x26.666666666666664, Velocity=2.2972236102752013, Rotation=0
[23:28:34.406] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1273.9362055679103}, Size=35.33333333333333x26.666666666666664, Velocity=2.2972236102752013, Rotation=0
[23:28:34.407] PLAYER COLLIDER: Position={-1694.4587496392903 -1279.8223134363238}, Radius=15.5, Velocity=2.2972236102752013, Rotation=0
[23:28:34.407] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1280.012054142969}, Size=35.33333333333333x26.666666666666664, Velocity=2.3067984300788025, Rotation=0
[23:28:34.408] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1279.8223134363238}, Size=35.33333333333333x26.666666666666664, Velocity=2.3067984300788025, Rotation=0
[23:28:34.408] PLAYER COLLIDER: Position={-1694.4587496392903 -1280.012054142969}, Radius=15.5, Velocity=2.3067984300788025, Rotation=0
[23:28:34.408] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1280.2048826355124}, Size=35.33333333333333x26.666666666666664, Velocity=2.3164032254360403, Rotation=0
[23:28:34.409] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1280.012054142969}, Size=35.33333333333333x26.666666666666664, Velocity=2.3164032254360403, Rotation=0
[23:28:34.410] PLAYER COLLIDER: Position={-1694.4587496392903 -1280.2048826355124}, Radius=15.5, Velocity=2.3164032254360403, Rotation=0
[23:28:34.419] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1281.467689291133}, Size=35.33333333333333x26.666666666666664, Velocity=2.3768883365809823, Rotation=0
[23:28:34.420] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1280.2048826355124}, Size=35.33333333333333x26.666666666666664, Velocity=2.3768883365809823, Rotation=0
[23:28:34.421] PLAYER COLLIDER: Position={-1694.4587496392903 -1281.467689291133}, Radius=15.5, Velocity=2.3768883365809823, Rotation=0
[23:28:34.436] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1283.507300067727}, Size=35.33333333333333x26.666666666666664, Velocity=2.4656065172378163, Rotation=0
[23:28:34.436] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1281.467689291133}, Size=35.33333333333333x26.666666666666664, Velocity=2.4656065172378163, Rotation=0
[23:28:34.437] PLAYER COLLIDER: Position={-1694.4587496392903 -1283.507300067727}, Radius=15.5, Velocity=2.4656065172378163, Rotation=0
